date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:37	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2028%20Oct%202022%2021:19:37%20GMT	https://app.whatsbot.me/dashboard/index/whatsapp	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/dashboard/index/whatsapp.0.delayed	(from )
23:19:38	8828/8828	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2021:19:38%20GMT	https://app.whatsbot.me/	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/index.html	(from )
23:19:39	453/453	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Oct%202022%2021:19:38%20GMT	https://app.whatsbot.me/robots.txt		(from )
23:19:39	17676/17676	---M--	200	added ('OK')	image/png	etag:%2262daf78c-450c%22	https://app.whatsbot.me/assets/uploads/5cd990b82991f50c81b0852639cba7bf/895000de0d71e241d9ed35d0ca075884.png	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/assets/uploads/5cd990b82991f50c81b0852639cba7bf/895000de0d71e241d9ed35d0ca075884.png	(from https://app.whatsbot.me/)
23:19:39	15026/15026	---MCZ	200	added ('OK')	text/css	etag:W/%2260a7fc04-3ab2%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/fonts/flags/flag-icon.css	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/fonts/flags/flag-icon.css	(from https://app.whatsbot.me/)
23:19:39	112230/112230	---MCZ	200	added ('OK')	text/css	etag:W/%22632a8c6e-1b666%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/css/style.css	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/css/style.css	(from https://app.whatsbot.me/)
23:19:40	37479/37479	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jun%202022%2012:03:13%20GMT	https://whatsbot.me/wp-content/uploads/2021/05/60.png	C:/Users/mr%20ahmed/Desktop/ok/whatsbot.me/wp-content/uploads/2021/05/60.png	(from https://app.whatsbot.me/)
23:19:41	53548/53548	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2021:19:41%20GMT	https://app.whatsbot.me/signup	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/signup.html	(from https://app.whatsbot.me/)
23:19:42	8296/8296	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2021:19:41%20GMT	https://app.whatsbot.me/forgot_password	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/forgot_password.html	(from https://app.whatsbot.me/)
23:19:42	201529/201529	---M--	200	added ('OK')	image/jpeg	etag:%2260a7fc04-31339%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/img/bg-img/hero-7.jpg	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/img/bg-img/hero-7.jpg	(from https://app.whatsbot.me/)
23:19:42	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a7fc06-14e4a%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/js/jquery.min.js	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/js/jquery.min.js	(from https://app.whatsbot.me/)
23:19:42	80927/80927	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a7fc04-13c1f%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/js/bootstrap.bundle.min.js	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/js/bootstrap.bundle.min.js	(from https://app.whatsbot.me/)
23:19:43	8044/8044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a7fc06-1f6c%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/js/waypoints.min.js	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/js/waypoints.min.js	(from https://app.whatsbot.me/)
23:19:43	2532/2532	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a7fc06-9e4%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/js/jquery.easing.min.js	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/js/jquery.easing.min.js	(from https://app.whatsbot.me/)
23:19:43	1589/1589	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a7fc04-635%22	https://app.whatsbot.me/inc/themes/frontend/wimax/assets/js/default/classy-nav.min.js	C:/Users/mr%20ahmed/Desktop/ok/app.whatsbot.me/inc/themes/frontend/wimax/assets/js/default/classy-nav.min.js	(from https://app.whatsbot.me/)
